T,TM,Tm,H,PP,VV,V,VM,PM_2_5
29.6,37.6,24.0,51.0,0.0,6.9,4.8,7.6,142.5
28.3,37.6,24.0,58.0,0.51,6.9,6.5,11.1,133.375
28.8,35.1,24.3,58.0,0.0,6.9,4.6,5.4,147.83333333333334
28.0,35.1,23.4,61.0,0.0,6.9,5.9,7.6,158.29166666666666
26.9,35.3,22.2,63.0,1.02,6.9,4.3,7.6,149.58333333333334
26.1,32.1,22.1,68.0,0.0,6.9,4.4,5.4,101.5
26.3,32.1,21.9,63.0,0.0,6.9,6.5,11.1,106.5
26.4,33.8,21.6,58.0,0.0,7.6,5.6,7.6,128.125
26.2,35.7,22.4,71.0,4.06,6.9,3.0,5.4,101.95833333333331
25.2,33.8,21.4,75.0,13.97,6.3,5.0,7.6,98.41666666666669
27.3,34.0,20.9,64.0,0.0,6.9,5.0,9.4,94.375
26.5,33.5,22.0,58.0,0.0,6.3,8.0,11.1,107.625
26.6,33.0,22.0,62.0,0.0,6.9,6.3,7.6,110.41666666666669
25.5,33.0,20.6,66.0,0.0,6.9,6.3,7.6,95.83333333333331
23.7,31.3,20.8,81.0,30.99,5.8,2.8,5.4,72.25
22.3,27.6,20.0,86.0,12.95,5.5,6.1,9.4,45.375
22.3,27.6,19.2,85.0,5.08,5.5,6.3,7.6,65.16666666666667
23.8,29.9,21.0,80.0,0.0,6.9,8.7,11.1,66.08333333333333
23.0,28.8,20.1,77.0,2.03,6.3,8.1,11.1,77.66666666666667
23.8,28.4,20.1,70.0,0.0,6.9,12.4,18.3,70.25
23.7,28.3,20.0,69.0,0.0,6.9,11.3,14.8,56.29166666666666
23.7,28.3,20.5,70.0,0.0,6.3,9.8,16.5,77.0
23.4,28.6,20.0,74.0,0.0,6.9,9.6,11.1,32.958333333333336
24.3,29.2,20.2,71.0,0.0,7.4,8.5,11.1,80.625
23.6,30.2,20.3,74.0,0.0,6.9,7.2,9.4,90.70833333333331
23.4,30.2,20.0,78.0,6.1,6.9,5.0,5.4,97.29166666666669
23.4,28.4,20.6,77.0,0.0,6.9,8.9,18.3,50.70833333333334
22.4,27.8,20.4,87.0,0.0,6.9,5.2,5.4,40.375
23.5,28.5,20.6,75.0,14.99,6.9,5.7,7.6,49.41666666666666
23.7,29.2,19.4,70.0,0.0,6.9,8.5,14.8,64.56521739130434
22.2,28.1,19.9,83.0,3.05,6.9,6.7,11.1,54.769230769230774
23.3,29.6,20.6,76.0,10.92,6.3,5.0,9.4,51.26086956521739
23.8,28.7,20.5,73.0,0.0,6.9,5.7,9.4,43.66666666666666
22.6,28.8,20.4,82.0,0.0,6.9,5.6,7.6,29.83333333333333
22.2,27.3,20.2,84.0,0.0,6.3,5.9,9.4,35.208333333333336
23.1,27.4,19.8,79.0,6.1,6.3,5.0,7.6,37.625
23.1,28.3,20.2,81.0,3.05,5.8,4.6,7.6,41.458333333333336
21.4,27.0,19.7,90.0,9.91,6.3,5.4,7.6,38.583333333333336
21.3,27.0,19.7,93.0,49.02,6.3,5.4,7.6,36.0
22.5,26.0,19.9,84.0,5.08,6.3,5.9,7.6,70.58333333333333
23.1,27.6,19.8,75.0,1.02,6.9,9.8,11.1,33.166666666666664
22.6,27.6,20.0,77.0,0.0,6.9,8.1,11.1,38.25
22.3,27.4,19.7,84.0,0.76,6.9,6.7,11.1,26.58333333333333
22.0,26.9,20.0,76.0,0.0,6.9,11.7,22.2,15.416666666666664
22.4,26.2,20.0,79.0,0.0,6.6,9.8,14.8,41.375
23.2,28.4,20.1,78.0,0.25,6.9,9.8,11.1,25.54166666666667
22.7,28.4,20.2,80.0,0.0,6.3,6.7,11.1,28.375
23.4,28.0,20.1,76.0,0.0,6.9,6.3,7.6,50.33333333333334
23.9,29.5,20.6,74.0,0.0,6.3,6.1,9.4,35.375
23.7,29.5,20.9,76.0,0.0,6.9,6.3,9.4,31.91666666666667
22.9,27.8,20.4,83.0,0.0,6.3,4.4,5.4,35.291666666666664
21.3,27.8,19.8,88.0,7.87,5.5,4.6,7.6,26.83333333333333
20.7,25.1,19.0,89.0,21.34,6.9,4.4,5.4,21.125
22.6,26.8,19.6,81.0,1.52,6.3,8.5,14.8,35.708333333333336
22.4,26.7,19.7,81.0,0.0,5.5,6.7,9.4,43.58333333333334
22.7,28.4,20.1,77.0,5.59,6.9,6.7,7.6,46.04166666666666
22.4,26.7,19.5,82.0,14.48,6.3,5.2,7.6,82.875
23.9,29.0,19.5,73.0,0.25,6.3,4.6,7.6,64.91666666666667
24.2,29.7,19.9,69.0,0.0,6.9,3.9,5.4,30.66666666666667
24.6,30.1,21.9,77.0,1.52,6.9,1.5,5.4,34.416666666666664
24.3,30.8,19.2,72.0,22.86,6.9,0.9,3.5,33.166666666666664
23.9,31.4,19.0,76.0,79.76,6.9,1.5,5.4,30.625
22.9,31.4,19.5,80.0,12.45,6.9,3.7,11.1,30.33333333333333
22.9,27.4,19.8,87.0,42.42,6.6,4.1,5.4,92.25
23.2,27.5,20.5,87.0,27.18,6.9,3.0,5.4,83.45833333333333
23.0,27.5,20.6,84.0,1.52,4.8,4.4,5.4,71.66666666666667
23.2,28.8,20.5,81.0,0.0,6.3,7.6,11.1,69.70833333333333
22.1,28.4,20.6,85.0,0.0,6.9,8.0,18.3,62.375
23.1,27.9,20.2,80.0,1.78,6.9,5.9,11.1,24.875
23.8,28.3,19.4,73.0,0.0,7.7,3.9,5.4,43.95833333333334
24.7,30.4,19.5,68.0,0.0,9.2,5.0,7.6,41.5
24.9,30.8,20.0,64.0,0.0,7.7,4.4,7.6,38.79166666666666
23.8,29.5,19.6,73.0,0.0,6.9,5.0,7.6,31.65217391304348
24.2,29.5,21.1,73.0,0.0,6.9,6.3,11.1,26.66666666666667
23.6,28.9,20.3,72.0,0.0,6.3,4.8,7.6,29.0
23.9,30.0,21.1,81.0,6.6,6.3,3.1,5.4,63.17391304347826
23.2,28.4,19.2,80.0,22.35,6.3,3.7,9.4,41.583333333333336
23.9,28.9,20.0,71.0,0.0,6.9,6.7,7.6,80.04166666666667
24.9,30.8,20.6,70.0,0.0,6.9,4.8,7.6,82.83333333333333
24.4,30.5,20.3,72.0,0.0,6.9,1.5,7.6,126.16666666666669
21.9,30.4,20.1,81.0,3.3,6.3,0.9,5.4,136.70833333333334
21.5,27.2,19.5,85.0,1.02,6.9,2.6,7.6,160.66666666666666
23.2,27.0,20.7,81.0,5.59,6.3,3.3,5.4,245.66666666666663
23.4,29.4,20.7,78.0,0.0,6.9,4.3,5.4,261.6666666666667
23.3,29.4,19.8,80.0,23.37,5.5,3.5,5.4,272.4166666666667
23.4,28.7,18.6,71.0,0.0,6.3,1.3,5.4,149.625
24.2,29.6,19.6,73.0,0.0,6.9,2.2,5.4,99.70833333333331
23.3,29.6,19.9,80.0,2.03,5.8,3.9,7.6,217.375
22.9,29.0,20.0,78.0,0.76,6.0,4.3,7.6,337.5
23.3,29.0,19.0,69.0,0.0,6.3,2.8,5.4,321.5416666666667
22.2,29.0,18.4,69.0,0.0,6.9,1.5,5.4,278.0
22.2,28.2,17.3,68.0,0.0,6.9,2.2,5.4,192.33333333333331
22.0,28.0,17.8,67.0,0.0,5.5,1.1,3.5,214.63636363636363
21.4,28.0,15.6,63.0,0.0,6.3,1.1,3.5,221.54166666666663
22.4,29.0,16.8,74.0,0.0,6.3,1.9,3.5,166.70833333333334
22.3,29.0,18.2,68.0,0.0,6.3,1.3,3.5,130.70833333333334
22.7,30.0,16.5,65.0,0.0,6.9,1.1,3.5,194.70833333333331
22.5,28.5,19.8,80.0,0.51,6.3,2.0,5.4,134.45833333333334
23.1,29.2,19.2,74.0,2.29,6.9,1.1,5.4,110.0
22.7,29.2,18.8,67.0,0.0,6.9,0.4,3.5,160.0
23.1,29.9,20.0,76.0,0.25,6.9,3.1,5.4,118.91666666666669
22.5,28.3,19.4,74.0,0.0,7.7,2.4,5.4,176.375
21.9,28.0,18.4,67.0,0.0,6.9,3.1,5.4,185.95833333333331
20.2,28.4,15.7,67.0,0.0,6.3,1.9,3.5,239.125
21.3,28.0,16.8,68.0,0.0,6.9,0.9,3.5,365.29166666666674
21.2,28.7,15.9,54.0,0.0,6.9,0.7,5.4,312.2083333333333
22.3,27.0,18.6,71.0,0.0,6.3,3.5,5.4,121.33333333333331
22.6,27.7,19.5,75.0,0.0,6.3,3.5,5.4,202.875
22.3,30.3,16.0,56.0,0.0,6.0,1.3,3.5,260.1666666666667
20.2,27.2,14.7,66.0,0.0,6.9,0.9,3.5,277.7083333333333
20.4,28.9,14.5,65.0,0.0,6.8,1.3,3.5,284.1666666666667
20.6,28.9,14.9,61.0,0.0,6.9,3.1,3.5,288.4166666666667
20.8,27.3,15.6,70.0,0.0,6.0,3.5,5.4,166.91666666666666
19.9,27.3,14.9,68.0,0.0,6.3,3.3,5.4,169.0
20.6,27.4,16.0,65.0,0.0,6.3,3.9,7.6,186.04166666666663
20.1,27.5,14.9,67.0,0.0,6.9,4.3,5.4,108.08333333333331
20.3,26.4,16.0,70.0,0.0,6.3,3.1,3.5,255.875
20.1,26.4,16.6,70.0,0.0,5.5,2.8,3.5,226.5217391304348
21.2,28.4,15.0,67.0,0.0,6.9,2.4,5.4,239.1304347826087
21.4,30.8,15.0,53.0,0.0,6.9,2.8,3.5,298.4583333333333
20.7,29.3,15.5,65.0,0.0,6.9,5.9,13.0,264.9166666666667
21.0,28.0,15.8,67.0,0.0,6.3,4.3,5.4,422.0869565217391
22.0,30.6,15.6,57.0,0.0,6.9,5.0,5.4,323.14285714285717
22.4,30.5,17.0,52.0,0.0,7.7,3.9,5.4,263.6
22.1,29.5,16.3,59.0,0.0,6.9,3.3,5.4,376.91666666666674
20.4,27.4,15.2,61.0,0.0,6.9,3.9,5.4,97.71428571428572
22.0,29.5,16.9,58.0,0.0,6.9,3.9,5.4,202.91666666666663
21.4,29.4,15.5,57.0,0.0,6.9,3.3,5.4,205.125
21.0,27.7,16.4,61.0,0.0,6.9,3.7,7.6,214.125
22.0,29.4,15.4,56.0,0.0,6.9,2.8,7.6,315.7916666666667
22.2,29.8,17.0,65.0,0.0,6.9,4.8,7.6,322.25
22.7,29.7,18.0,59.0,0.0,6.9,3.1,5.4,246.04166666666663
23.0,31.4,15.7,48.0,0.0,6.9,1.9,3.5,209.65217391304347
23.8,32.6,16.5,29.0,0.0,6.9,2.4,5.4,103.82608695652172
23.6,32.1,15.5,35.0,0.0,6.9,2.0,5.4,143.91666666666666
24.6,31.8,19.0,54.0,0.0,6.9,2.8,5.4,165.0
24.3,31.6,19.2,60.0,0.0,6.3,2.4,5.4,116.45833333333331
24.7,31.6,20.2,63.0,0.0,6.3,2.2,5.4,143.0
23.4,30.1,19.2,65.0,0.0,6.3,4.3,7.6,231.125
23.0,30.1,19.1,65.0,0.0,6.3,3.5,3.5,276.2105263157895
23.9,30.3,19.2,63.0,0.0,6.9,2.2,3.5,211.0
23.4,30.8,19.7,64.0,0.25,6.3,4.4,5.4,139.22222222222223
24.2,32.0,19.3,49.0,0.0,6.9,4.4,5.4,204.54545454545453
24.5,32.0,17.6,50.0,0.0,6.9,3.1,5.4,130.16666666666666
23.8,31.1,19.9,71.0,0.0,6.9,5.0,7.6,123.125
24.9,32.0,19.3,64.0,4.06,6.9,3.9,5.4,120.91666666666669
23.8,32.0,20.2,67.0,0.0,6.9,5.2,7.6,153.625
23.9,30.6,19.9,67.0,0.51,6.9,4.6,5.4,130.33333333333334
24.6,31.6,18.6,61.0,0.76,6.9,4.1,7.6,110.70833333333331
24.2,31.6,18.2,54.0,0.0,6.8,5.4,7.6,138.5
24.9,31.8,16.6,35.0,0.0,6.9,3.5,5.4,75.75
25.3,32.8,19.0,31.0,0.0,6.9,4.1,7.6,146.54166666666666
25.6,33.1,17.1,31.0,0.0,6.9,3.1,5.4,174.9375
27.1,35.4,18.7,31.0,0.0,6.9,3.5,5.4,80.04166666666667
28.2,35.9,20.8,33.0,0.0,7.7,0.9,3.5,100.04166666666669
27.9,35.9,22.4,42.0,0.0,6.9,1.1,5.4,109.45833333333331
27.6,35.3,20.5,37.0,0.0,6.9,2.4,5.4,110.16666666666669
27.3,35.3,20.3,38.0,0.0,6.9,2.6,7.6,108.20833333333331
26.8,34.6,19.4,33.0,0.0,6.9,2.2,5.4,103.83333333333331
28.6,36.0,23.5,33.0,0.0,6.9,1.3,3.5,74.29166666666667
28.3,35.8,21.9,49.0,0.0,6.9,2.8,3.5,101.79166666666669
29.2,35.8,23.4,43.0,0.0,6.9,3.3,7.6,106.16666666666669
28.9,36.0,23.3,40.0,0.0,6.9,3.3,5.4,89.875
28.6,36.2,22.3,38.0,0.0,6.9,2.4,5.4,48.20833333333334
28.5,36.4,22.6,47.0,0.0,6.9,4.3,7.6,47.04166666666666
25.7,36.4,20.4,59.0,8.89,6.6,3.9,5.4,67.79166666666667
27.1,34.5,22.3,59.0,0.0,6.9,3.0,3.5,56.66666666666666
27.7,34.5,23.1,56.0,5.08,6.9,2.8,7.6,79.0
27.6,34.0,22.7,56.0,0.0,6.9,3.0,5.4,123.58333333333331
28.6,35.4,22.2,47.0,0.51,6.9,2.4,5.4,80.29166666666667
28.7,35.5,23.4,36.0,0.0,6.9,1.9,3.5,137.875
28.7,35.5,21.5,34.0,0.0,7.7,1.5,5.4,87.875
29.8,36.5,23.8,53.0,0.0,7.7,3.3,5.4,121.20833333333331
29.6,36.5,24.7,52.0,0.0,6.9,1.9,3.5,97.04166666666669
29.3,36.3,24.8,49.0,0.0,6.9,2.8,3.5,96.08695652173913
28.8,36.0,24.2,50.0,0.0,6.9,3.9,5.4,130.625
28.6,35.8,24.6,50.0,0.51,6.3,3.9,7.6,90.5
27.8,35.8,20.0,56.0,0.0,6.9,3.1,7.6,55.41666666666666
24.5,30.6,21.4,76.0,2.03,7.7,5.2,7.6,108.33333333333331
22.8,26.7,21.0,86.0,0.0,6.3,5.2,5.4,198.875
24.1,28.3,20.5,78.0,6.6,6.9,4.6,7.6,120.70833333333331
27.4,35.6,23.8,60.0,0.25,6.9,3.9,7.6,60.54166666666666
28.8,35.6,22.8,47.0,0.0,6.9,4.1,7.6,79.0
28.6,35.5,22.8,49.0,0.0,6.9,3.9,5.4,133.70833333333334
28.4,35.5,23.6,56.0,0.0,7.7,3.7,14.8,53.25
25.8,33.9,21.4,71.0,4.06,6.9,1.5,5.4,65.16666666666667
26.3,33.0,21.2,65.0,0.0,7.4,4.3,7.6,83.58333333333333
26.4,35.2,18.9,62.0,9.4,9.2,4.4,5.4,40.66666666666666
27.8,34.4,22.2,61.0,0.0,7.7,2.4,5.4,48.125
28.1,35.0,22.3,57.0,0.0,7.4,3.3,5.4,143.375
27.6,35.0,20.1,60.0,13.72,6.9,3.9,5.4,44.79166666666666
25.9,34.5,20.4,70.0,0.0,6.9,4.6,7.6,75.08695652173913
24.5,29.2,20.0,75.0,0.0,6.9,2.8,3.5,60.0
25.9,31.2,22.2,72.0,0.0,7.7,6.1,11.1,101.0
25.9,31.3,20.9,73.0,0.0,6.9,7.4,9.4,76.20833333333333
24.6,31.3,22.2,74.0,0.0,6.9,9.4,22.2,88.0
25.4,30.2,21.4,67.0,0.0,9.2,8.9,9.4,85.94444444444444
25.2,31.0,21.6,71.0,0.0,7.7,9.3,14.8,113.70588235294115
24.4,29.4,20.8,72.0,0.0,6.9,9.8,11.1,74.76190476190476
24.7,29.2,21.2,71.0,0.0,7.4,9.1,11.1,62.47619047619048
25.3,30.4,21.2,69.0,0.0,6.6,8.7,11.1,78.54166666666667
26.0,32.0,21.4,61.0,0.0,6.9,5.7,7.6,49.125
26.6,33.0,21.4,60.0,0.0,6.9,4.3,5.4,83.21052631578948
27.4,33.6,22.2,58.0,0.0,7.7,2.4,3.5,79.0
24.9,31.3,21.1,75.0,22.61,6.9,5.9,9.4,233.26315789473685
25.4,30.6,21.8,69.0,0.0,6.9,5.2,7.6,143.1578947368421
25.5,30.8,20.8,64.0,0.0,6.9,6.9,14.8,233.9333333333333
23.1,27.5,20.8,81.0,1.02,6.9,6.3,11.1,117.17391304347828
22.6,27.5,20.3,82.0,0.0,6.9,5.2,9.4,66.13636363636364
22.7,28.6,19.9,83.0,1.02,6.9,5.6,7.6,71.0
23.6,27.1,20.3,76.0,9.91,6.6,8.7,14.8,269.9166666666667
23.0,26.6,21.0,80.0,0.0,5.8,9.6,14.8,162.25
23.3,28.4,20.0,77.0,1.27,6.3,6.7,11.1,226.41176470588238
23.9,28.9,21.0,74.0,0.0,6.3,11.1,14.8,159.0
23.2,28.0,21.4,81.0,8.89,6.6,7.4,14.8,198.2
24.1,29.4,20.4,78.0,0.0,6.9,6.3,7.6,47.375
23.4,28.4,21.0,79.0,4.06,6.6,5.7,9.4,38.16666666666666
22.9,28.4,20.5,85.0,1.78,5.5,7.6,11.1,27.363636363636363
23.1,27.4,20.4,81.0,4.57,5.5,7.8,11.1,45.83333333333334
23.2,28.2,21.0,81.0,0.0,5.5,7.4,14.8,33.708333333333336
23.6,27.8,20.8,73.0,0.0,8.2,7.2,11.1,26.41666666666667
22.8,28.4,20.7,83.0,0.0,6.3,6.9,11.1,30.66666666666667
23.6,29.2,20.2,79.0,0.0,6.9,6.9,9.4,29.95833333333333
22.8,28.0,20.4,84.0,0.0,6.9,5.2,9.4,23.875
23.1,29.3,20.0,81.0,0.0,5.8,5.0,7.6,22.33333333333333
24.1,29.5,20.0,74.0,7.11,9.2,4.4,5.4,25.08333333333333
24.1,28.8,20.2,83.0,11.18,6.9,2.2,7.6,66.79166666666667
24.7,30.8,20.7,80.0,6.86,6.9,0.9,3.5,64.875
25.4,30.8,20.4,78.0,32.0,6.9,0.9,3.5,47.58333333333334
23.7,29.6,20.5,79.0,0.0,6.9,6.7,9.4,42.31578947368421
23.2,28.0,20.2,75.0,1.02,6.9,8.0,9.4,43.04166666666666
21.8,28.0,20.1,85.0,0.51,5.5,7.2,9.4,38.41666666666666
22.7,27.4,20.4,80.0,1.52,6.9,7.2,9.4,19.541666666666668
22.5,27.2,20.0,84.0,0.25,6.9,5.6,9.4,22.83333333333333
23.1,26.8,19.7,79.0,0.51,7.7,6.7,9.4,25.347826086956523
23.3,28.7,20.3,77.0,0.0,6.9,6.3,9.4,74.66666666666667
23.2,28.9,19.8,71.0,0.0,6.3,9.1,11.1,41.875
24.0,29.9,19.1,69.0,0.0,6.9,7.8,11.1,50.58333333333334
24.3,30.3,20.5,67.0,0.0,8.5,5.2,7.6,58.125
23.4,27.8,20.6,79.0,0.0,6.9,5.9,9.4,47.41666666666666
23.7,27.8,20.1,74.0,1.78,7.4,5.9,7.6,56.91666666666666
24.2,28.3,20.0,72.0,0.0,6.6,2.8,5.4,54.625
23.9,31.1,20.1,78.0,10.67,6.9,1.3,3.5,45.95833333333334
24.2,31.1,19.9,81.0,132.33,6.9,1.9,5.4,52.25
24.8,30.0,20.0,72.0,6.1,9.2,3.5,5.4,43.33333333333334
24.7,29.9,20.7,69.0,3.81,7.7,2.2,3.5,62.9375
23.6,30.4,19.6,79.0,31.5,6.9,2.8,5.4,91.5
22.6,30.4,19.1,84.0,51.82,6.9,1.9,3.5,70.70833333333333
23.6,29.9,19.3,83.0,62.99,6.8,1.9,3.5,51.79166666666666
25.4,30.3,21.2,66.0,0.0,8.2,2.6,5.4,21.384615384615387
24.0,30.3,21.1,75.0,0.0,9.2,3.9,7.6,13.0
21.6,24.3,19.8,86.0,3.05,5.5,3.1,3.5,156.25
22.0,25.4,20.2,82.0,0.51,6.3,3.1,5.4,178.28571428571428
22.7,26.8,20.4,76.0,0.0,9.2,3.3,5.4,158.3913043478261
22.0,27.5,20.4,89.0,0.0,5.5,3.1,3.5,252.625
22.4,27.5,19.8,87.0,55.37,6.3,3.1,3.5,119.41666666666669
21.9,27.3,19.8,90.0,5.84,6.3,3.0,5.4,126.0
22.0,28.4,17.5,70.0,0.0,6.3,1.3,3.5,232.33333333333331
23.2,28.2,20.0,72.0,0.0,6.9,2.2,3.5,215.54166666666663
21.4,27.6,18.4,71.0,0.0,6.3,0.9,3.5,196.54166666666663
23.2,29.4,17.9,58.0,0.0,6.3,2.0,5.4,232.54166666666663
23.0,29.5,18.8,59.0,0.0,6.3,0.4,3.5,185.5
23.2,29.5,18.8,63.0,0.0,6.3,0.9,3.5,282.1666666666667
20.2,27.4,19.6,94.0,3.81,4.0,3.5,3.5,268.8695652173913
21.4,24.6,20.2,91.0,0.0,5.5,3.7,7.6,166.875
21.9,27.4,18.0,80.0,5.84,6.3,2.8,5.4,135.16666666666666
22.1,28.1,17.4,71.0,0.0,6.6,2.8,3.5,220.65217391304347
21.8,28.0,18.3,70.0,0.0,9.2,2.8,3.5,215.5
22.2,28.8,17.1,68.0,0.0,6.3,0.4,3.5,223.375
21.2,26.7,18.0,68.0,0.0,6.9,2.4,5.4,135.58333333333334
21.4,27.4,15.8,64.0,0.0,6.3,1.1,5.4,152.04166666666666
21.7,29.2,16.5,60.0,0.0,8.2,1.9,3.5,212.125
22.3,28.2,16.6,50.0,0.0,6.6,1.9,5.4,70.0625
21.3,28.2,17.0,60.0,0.0,6.9,0.9,3.5,91.75
21.1,29.0,15.3,55.0,0.0,8.0,0.4,3.5,104.2608695652174
21.9,28.6,17.6,72.0,0.0,6.3,3.0,9.4,119.70833333333331
22.8,29.2,18.4,77.0,0.0,6.3,1.9,3.5,110.875
23.3,29.3,19.8,74.0,0.0,5.6,2.8,3.5,200.33333333333331
21.6,26.6,18.2,76.0,0.0,6.3,2.4,5.4,203.58333333333331
21.6,26.4,19.6,83.0,0.0,6.9,1.3,3.5,60.2
23.1,28.8,19.1,74.0,0.0,6.9,2.8,3.5,97.85714285714286
21.1,25.2,18.8,78.0,0.0,5.5,3.1,3.5,349.29166666666674
21.4,28.0,17.6,71.0,0.0,6.3,1.9,5.4,188.04166666666663
21.1,28.3,17.1,74.0,0.0,7.7,0.9,3.5,310.25
20.0,28.4,15.8,65.0,0.0,6.3,1.9,3.5,258.1578947368421
20.1,27.3,14.2,56.0,0.0,9.2,1.3,3.5,223.25
20.8,27.4,13.9,58.0,0.0,7.7,2.0,5.4,248.95833333333331
22.3,29.5,19.2,77.0,7.62,6.3,0.9,3.5,276.4
22.2,29.2,17.6,71.0,1.52,5.5,1.9,7.6,146.79166666666666
22.1,29.2,18.7,76.0,0.0,6.0,1.3,3.5,113.875
21.9,28.6,17.4,60.0,0.0,6.9,0.4,3.5,227.0
22.1,28.6,17.6,71.0,0.0,6.3,0.6,3.5,231.25
21.6,27.6,18.5,72.0,0.0,6.3,1.9,3.5,272.125
19.4,27.1,13.7,60.0,0.0,8.5,0.9,3.5,228.79166666666663
19.4,27.1,13.7,67.0,0.0,6.0,0.2,1.9,200.875
20.1,27.1,14.7,63.0,0.0,6.3,2.8,7.6,214.04166666666663
21.3,28.2,15.4,61.0,0.0,8.5,3.3,5.4,217.25
20.9,28.2,15.6,63.0,0.0,6.3,3.0,5.4,212.45833333333331
21.0,27.4,15.5,61.0,0.0,6.3,4.8,7.6,202.66666666666663
22.1,29.4,17.0,59.0,0.0,7.7,3.3,5.4,138.79166666666666
21.3,28.4,15.6,57.0,0.0,7.7,4.6,7.6,153.08333333333334
